transaction_id,transaction_date,customer_id,product_id,count,sales,shipping_date,cancellation_date,status,customer_name,birth_date,gender,prefectures,type,product_name,brand,category,color,price
201904280011-1,2019-04-28,C-001607,INNB3,1,126800,2019-05-05,,配達済み,片山 栄,1993-07-02,女,愛知県,個人,Inter-V3,Inter,ノートPC,Black,126800
201904280012-1,2019-04-28,C-001642,VEDB9,1,379400,2019-05-07,,配達済み,稲辺 裕子,1989-04-07,女,東京都,法人,Verge-T9,verge,デスクトップ,Black,379400
201904280015-1,2019-04-28,C-002369,IKU,2,5662,2019-05-07,,配達済み,岩永 直子,1986-01-19,女,北海道,個人,USBキーボード,キーボード,周辺機器,,2831
201904290001-1,2019-04-29,C-001724,VEDB5,2,449600,2019-05-09,,配達済み,松本 健,1977-02-25,男,愛知県,法人,Verge-T5,verge,デスクトップ,Black,224800
201904290004-1,2019-04-29,C-002809,INNB9,5,1099000,2019-05-05,,配達済み,安里 恵,1974-07-14,女,奈良県,法人,Inter-Q5HP,Inter,ノートPC,Black,219800
201904290005-1,2019-04-29,C-003725,VENB5,23,6205400,2019-05-10,,配達済み,山下 梓,1990-10-17,女,神奈川県,法人,Verge-U5,verge,ノートPC,Black,269800
201905020000-1,2019-05-02,C-000515,CANB13,1,349800,2019-05-14,,配達済み,原田 直樹,1985-06-03,その他・不明,大阪府,個人,Caps-X10,caps,ノートPC,Black,349800
201905020003-1,2019-05-02,C-000685,PUDB3,2,179880,2019-05-14,,配達済み,森 英典,1979-05-20,男,東京都,法人,Puter-M2,puter,デスクトップ,Black,89940
201905020004-1,2019-05-02,C-001072,IKW,2,7562,2019-05-13,,配達済み,佐々木 友子,1974-02-01,女,千葉県,個人,ワイヤレスキーボード,キーボード,周辺機器,,3781
201905020005-1,2019-05-02,C-001076,INNG3,1,136800,2019-05-10,,配達済み,川手 雄一,1990-06-13,男,埼玉県,個人,Inter-V3,Inter,ノートPC,Gold,136800
201905020006-1,2019-05-02,C-001082,ZENB3,1,154800,2019-05-15,,配達済み,橋本 宏美,1981-05-27,女,東京都,個人,Zerace-J3,zerace,ノートPC,Black,154800
201905020007-1,2019-05-02,C-001896,INNG9,3,689400,2019-05-14,,配達済み,青柳 翔平,1988-09-02,男,北海道,法人,Inter-Q5HP,Inter,ノートPC,Gold,229800
201905020008-1,2019-05-02,C-002086,IKW,3,11343,2019-05-11,,配達済み,望月 勝秀,1993-03-19,男,東京都,個人,ワイヤレスキーボード,キーボード,周辺機器,,3781
201905020014-1,2019-05-02,C-002532,INNS7,1,181800,2019-05-13,,配達済み,赤川 祐子,1982-08-23,女,大阪府,個人,Inter-Q5H,Inter,ノートPC,Silver,181800
201905020015-1,2019-05-02,C-002735,VEDB3,4,739200,2019-05-08,,配達済み,篠田 晋,1973-08-16,男,大阪府,法人,Verge-T3,verge,デスクトップ,Black,184800
201905020019-1,2019-05-02,C-002863,INDB3,10,1168000,2019-05-12,,配達済み,高橋 由里子,1990-09-05,その他・不明,大阪府,法人,Inter-C3,Inter,デスクトップ,Black,116800
201905030000-1,2019-05-03,C-000170,TADB1,0,0,2019-05-12,,配達済み,田中 和也,1975-06-25,男,埼玉県,個人,Tablet-E1,Tab,タブレット,Black,14970
201905030001-1,2019-05-03,C-001227,CADB9,3,959400,2019-05-14,2019-05-19,キャンセル,壹岐 希,2001-09-12,女,東京都,法人,Caps-XC5P,caps,デスクトップ,Black,319800
201905030003-1,2019-05-03,C-001935,CADB11,1,364800,2019-05-10,,配達済み,井口 美弥,1991-12-18,女,神奈川県,個人,Caps-XC5PH,caps,デスクトップ,Black,364800
201905030005-1,2019-05-03,C-002510,PUNR1,1,67800,2019-05-10,,配達済み,大橋 千鶴,1979-06-12,その他・不明,兵庫県,個人,Puter-K1,puter,ノートPC,Red,67800
201905030009-1,2019-05-03,C-002534,CANB11,0,0,2019-05-14,,配達済み,林 孝一,1999-11-15,男,大阪府,個人,Caps-X5PH,caps,ノートPC,Black,289900
201905030013-1,2019-05-03,C-002977,PUNR3,2,197480,2019-05-08,,配達済み,岸 美穂,1998-08-24,女,福岡県,法人,Puter-K2,puter,ノートPC,Red,98740
201905030015-1,2019-05-03,C-003335,ZEDB9,1,256400,2019-05-09,,配達済み,猪熊 太郎,1984-10-17,男,東京都,個人,Zerace-L9,zerace,デスクトップ,Black,256400
201905030016-1,2019-05-03,C-003561,CADB9,3,959400,2019-05-16,,配達済み,宮城 稔,1984-08-03,男,大阪府,法人,Caps-XC5P,caps,デスクトップ,Black,319800
201905030017-1,2019-05-03,C-003610,INNB7,0,0,2019-05-13,,配達済み,小西 実,1974-10-20,男,東京都,個人,Inter-Q5H,Inter,ノートPC,Black,181800
201905040000-1,2019-05-04,C-000267,INDB9,2,433600,2019-05-12,,配達済み,赤尾 貴志,1993-02-25,男,大阪府,個人,Inter-W5HP,Inter,デスクトップ,Black,216800
201905040001-1,2019-05-04,C-000614,VEDB13,1,584800,2019-05-14,,配達済み,永井 健一,1996-02-07,男,島根県,法人,Verge-T9H2,verge,デスクトップ,Black,584800
201905040001-2,2019-05-04,C-000614,ZENB7,4,925600,2019-05-14,,配達済み,永井 健一,1996-02-07,男,島根県,法人,Zerace-J7,zerace,ノートPC,Black,231400
201905040004-1,2019-05-04,C-002448,INDB1,2,189600,2019-05-15,,配達済み,横山 智恵美,1972-05-31,女,愛知県,法人,Inter-C1,Inter,デスクトップ,Black,94800
201905040005-1,2019-05-04,C-002763,INNS5,1,159800,2019-05-14,,配達済み,関 智博,1986-08-22,男,福岡県,法人,Inter-Q5,Inter,ノートPC,Silver,159800
201905040008-1,2019-05-04,C-003229,INNG3,2,273600,2019-05-13,,配達済み,畑中 一大,1976-12-24,男,東京都,個人,Inter-V3,Inter,ノートPC,Gold,136800
201905040010-1,2019-05-04,C-003529,INNB7,3,545400,2019-05-13,,配達済み,福島 正子,1987-06-19,女,東京都,法人,Inter-Q5H,Inter,ノートPC,Black,181800
201905050002-1,2019-05-05,C-000420,INNG3,2,273600,2019-05-13,,配達済み,山川 恭子,1981-12-31,女,東京都,法人,Inter-V3,Inter,ノートPC,Gold,136800
201905050003-1,2019-05-05,C-000960,INDB7,2,369600,2019-05-14,,配達済み,堀 智子,1996-03-03,女,神奈川県,法人,Inter-W5H,Inter,デスクトップ,Black,184800
201905050005-1,2019-05-05,C-001059,INNS9,1,219800,2019-05-14,,配達済み,横田 睦,1977-02-18,男,大阪府,個人,Inter-Q5HP,Inter,ノートPC,Silver,219800
201905050005-2,2019-05-05,C-001059,ZENB5,0,0,2019-05-12,,配達済み,横田 睦,1977-02-18,男,大阪府,個人,Zerace-J5,zerace,ノートPC,Black,173800
201905050006-1,2019-05-05,C-001178,INDB3,19,2219200,2019-05-14,,配達済み,夜久 猛,2001-10-09,男,大阪府,法人,Inter-C3,Inter,デスクトップ,Black,116800
201905050009-1,2019-05-05,C-001297,ID23,4,79920,2019-05-14,,配達済み,浜口 洋二,1983-09-22,男,大阪府,個人,Display-23,ディスプレイ,周辺機器,,19980
201905050009-2,2019-05-05,C-001297,IMW,2,5074,2019-05-13,,配達済み,浜口 洋二,1983-09-22,男,大阪府,個人,ワイヤレスマウス,マウス,周辺機器,,2537
201905050011-1,2019-05-05,C-002385,VENB5,1,269800,2019-05-11,,配達済み,楠 俊介,1999-12-29,男,神奈川県,個人,Verge-U5,verge,ノートPC,Black,269800
201905050013-1,2019-05-05,C-003176,TADB3,0,0,2019-05-10,,配達済み,立花 聡美,1974-06-21,女,大阪府,個人,Tablet-E2,Tab,タブレット,Black,45342
201905050015-1,2019-05-05,C-003238,CADB7,4,939200,2019-05-12,,配達済み,溝渕 達也,1995-02-02,男,宮城県,法人,Caps-XC5,caps,デスクトップ,Black,234800
201905050017-1,2019-05-05,C-003304,INNB5,2,319600,2019-05-11,,配達済み,鈴木 真里子,1999-06-27,女,宮崎県,個人,Inter-Q5,Inter,ノートPC,Black,159800
201905050017-2,2019-05-05,C-003304,CADB7,1,234800,2019-05-12,,配達済み,鈴木 真里子,1999-06-27,女,宮崎県,個人,Caps-XC5,caps,デスクトップ,Black,234800
201905060000-1,2019-05-06,C-000794,INNG7,1,191800,2019-05-19,,配達済み,上野 亜矢,1995-06-18,女,福岡県,法人,Inter-Q5H,Inter,ノートPC,Gold,191800
201905060001-1,2019-05-06,C-001799,CADB3,3,524700,2019-05-20,,配達済み,小松 淳,1996-06-06,男,東京都,法人,Caps-B3,caps,デスクトップ,Black,174900
201905060001-2,2019-05-06,C-001799,VENB7,6,1858800,2019-05-17,,配達済み,小松 淳,1996-06-06,男,東京都,法人,Verge-U7,verge,ノートPC,Black,309800
201905060001-3,2019-05-06,C-001799,CANB11,8,2319200,2019-05-18,,配達済み,小松 淳,1996-06-06,男,東京都,法人,Caps-X5PH,caps,ノートPC,Black,289900
201905060007-1,2019-05-06,C-003016,INNG3,2,273600,2019-05-17,,配達済み,勝目 正樹,1995-05-05,男,兵庫県,法人,Inter-V3,Inter,ノートPC,Gold,136800
201905060009-1,2019-05-06,C-003578,ZEDB3,2,311600,2019-05-19,,配達済み,大和田 瑠里,1989-01-30,女,東京都,法人,Zerace-L3,zerace,デスクトップ,Black,155800
201905070000-1,2019-05-07,C-002029,VENB3,0,0,2019-05-18,,配達済み,大内 義樹,1987-10-20,男,東京都,個人,Verge-U3,verge,ノートPC,Black,222800
201905070002-1,2019-05-07,C-002594,TADB5,1,124342,2019-05-19,,配達済み,野口 さおり,1990-01-27,女,福岡県,個人,Tablet-E3,Tab,タブレット,Black,124342
201905070004-1,2019-05-07,C-003299,INNG7,1,191800,2019-05-17,2019-05-09,キャンセル,鈴木 謙一,1979-03-12,男,北海道,個人,Inter-Q5H,Inter,ノートPC,Gold,191800
201905070005-1,2019-05-07,C-003620,ID16,1,16300,2019-05-19,,配達済み,藤木 怜史,1991-10-29,男,東京都,個人,Display-16,ディスプレイ,周辺機器,,16300
201905070006-1,2019-05-07,C-003707,CANB1,2,259600,2019-05-20,2019-05-09,キャンセル,吉川 正美,1977-07-10,男,埼玉県,法人,Caps-A1,caps,ノートPC,Black,129800
201905070008-1,2019-05-07,C-003768,CANB7,1,229900,2019-05-16,,配達済み,西田 謙,2001-08-03,男,大分県,個人,Caps-X5,caps,ノートPC,Black,229900
201905090001-1,2019-05-09,C-000063,INNG5,1,169800,2019-05-17,,配達済み,芳賀 公彦,2005-07-15,男,東京都,個人,Inter-Q5,Inter,ノートPC,Gold,169800
201905090002-1,2019-05-09,C-000215,INNG3,1,136800,2019-05-17,,配達済み,山本 基,1994-02-16,男,大阪府,法人,Inter-V3,Inter,ノートPC,Gold,136800
201905090003-1,2019-05-09,C-000434,TADB1,3,44910,2019-05-17,,配達済み,加藤 仁,2002-09-20,男,石川県,個人,Tablet-E1,Tab,タブレット,Black,14970
201905090004-1,2019-05-09,C-000678,TADB1,6,89820,2019-05-21,,配達済み,木下 貴大,1991-12-30,男,東京都,個人,Tablet-E1,Tab,タブレット,Black,14970
201905090006-1,2019-05-09,C-000715,ZEDB5,1,178900,2019-05-20,,配達済み,池田 直輝,1992-08-03,男,和歌山県,法人,Zerace-L5,zerace,デスクトップ,Black,178900
201905090006-2,2019-05-09,C-000715,PUNB3,5,493700,2019-05-20,,配達済み,池田 直輝,1992-08-03,男,和歌山県,法人,Puter-K2,puter,ノートPC,Black,98740
201905090007-1,2019-05-09,C-001090,CANB11,1,289900,2019-05-15,,配達済み,富岡 直道,1997-07-23,男,愛知県,個人,Caps-X5PH,caps,ノートPC,Black,289900
201905090008-1,2019-05-09,C-002169,VENB7,3,929400,2019-05-20,,配達済み,北山 康裕,1985-04-01,男,北海道,法人,Verge-U7,verge,ノートPC,Black,309800
201905090016-1,2019-05-09,C-002305,VEDB17,7,7698600,2019-05-17,,配達済み,山本 さよ,1974-01-03,女,神奈川県,法人,Verge-T9H4,verge,デスクトップ,Black,1099800
201905090020-1,2019-05-09,C-002897,CANB11,4,1159600,2019-05-17,,配達済み,工藤 秀夫,1974-06-07,男,鹿児島県,法人,Caps-X5PH,caps,ノートPC,Black,289900
201905090021-1,2019-05-09,C-003051,INDB5,16,2476800,2019-05-13,,配達済み,立木 知子,1975-01-05,女,北海道,法人,Inter-W5,Inter,デスクトップ,Black,154800
201905090022-1,2019-05-09,C-003516,CANB11,1,289900,2019-05-21,,配達済み,細川 沙紀,1988-03-24,女,東京都,個人,Caps-X5PH,caps,ノートPC,Black,289900
201905090023-1,2019-05-09,C-003554,VEDB9,0,0,2019-05-19,,配達済み,西脇 昇平,2004-11-09,男,東京都,個人,Verge-T9,verge,デスクトップ,Black,379400
201905100000-1,2019-05-10,C-000177,VEDB7,1,228900,2019-05-17,,配達済み,大澤 りえ,1991-09-27,女,東京都,法人,Verge-T7,verge,デスクトップ,Black,228900
201905100004-1,2019-05-10,C-000568,ID23,8,159840,2019-05-20,,配達済み,吉田 等,1985-04-16,男,東京都,法人,Display-23,ディスプレイ,周辺機器,,19980
201905100005-1,2019-05-10,C-000879,CADB11,4,1459200,2019-05-16,,配達済み,村木 忠,2000-09-04,男,兵庫県,法人,Caps-XC5PH,caps,デスクトップ,Black,364800
201905100007-1,2019-05-10,C-001472,INNB3,3,380400,2019-05-19,,配達済み,瀧井 馨,1980-09-19,男,鳥取県,法人,Inter-V3,Inter,ノートPC,Black,126800
201905100008-1,2019-05-10,C-002936,ZEDB1,1,124800,2019-05-17,,配達済み,岩田 翔,1987-02-01,男,東京都,法人,Zerace-L1,zerace,デスクトップ,Black,124800
201905110001-1,2019-05-11,C-000822,CANB13,2,699600,2019-05-19,,配達済み,金子 八千代,1988-03-17,女,北海道,法人,Caps-X10,caps,ノートPC,Black,349800
201905110002-1,2019-05-11,C-001447,ZENB7,2,462800,2019-05-16,,配達済み,小川 美絵,1999-08-29,女,愛媛県,法人,Zerace-J7,zerace,ノートPC,Black,231400
201905110006-1,2019-05-11,C-001604,INNG5,1,169800,2019-05-20,,配達済み,松尾 明,1977-02-24,男,福岡県,個人,Inter-Q5,Inter,ノートPC,Gold,169800
201905110008-1,2019-05-11,C-002885,VEDB5,1,224800,2019-05-18,,配達済み,木村 美樹,1977-11-08,女,大阪府,個人,Verge-T5,verge,デスクトップ,Black,224800
201905110009-1,2019-05-11,C-003146,INNS1,12,897600,2019-05-16,,配達済み,乾 智也,1985-04-21,男,愛知県,法人,Inter-V1,Inter,ノートPC,Silver,74800
201905120000-1,2019-05-12,C-001133,INNS3,3,380400,2019-05-23,,配達済み,沼田 紀子,2005-09-24,女,埼玉県,個人,Inter-V3,Inter,ノートPC,Silver,126800
201905120003-1,2019-05-12,C-001690,IMW,2,5074,2019-05-21,,配達済み,岩越 健太,1986-09-06,男,鳥取県,法人,ワイヤレスマウス,マウス,周辺機器,,2537
201905120005-1,2019-05-12,C-002554,ID23,4,79920,2019-05-21,,配達済み,岩田 拓,1997-04-12,男,新潟県,法人,Display-23,ディスプレイ,周辺機器,,19980
201905130000-1,2019-05-13,C-000203,PUNW3,1,98740,2019-05-22,,配達済み,藤本 美緒,1996-09-13,女,愛知県,個人,Puter-K2,puter,ノートPC,White,98740
201905130004-1,2019-05-13,C-000263,PUDB3,2,179880,2019-05-21,,配達済み,原田 優太,1977-03-21,男,愛知県,法人,Puter-M2,puter,デスクトップ,Black,89940
201905130005-1,2019-05-13,C-000411,CANB5,2,399600,2019-05-24,,配達済み,森 陽介,1998-04-19,男,神奈川県,法人,Caps-A3P,caps,ノートPC,Black,199800
201905130005-2,2019-05-13,C-000411,VEDB3,1,184800,2019-05-24,,配達済み,森 陽介,1998-04-19,男,神奈川県,法人,Verge-T3,verge,デスクトップ,Black,184800
201905130008-1,2019-05-13,C-000857,CANB11,1,289900,2019-05-20,,配達済み,津川 未来,2003-09-10,その他・不明,福島県,個人,Caps-X5PH,caps,ノートPC,Black,289900
201905130009-1,2019-05-13,C-002793,VENB7,1,309800,2019-05-22,,配達済み,戸田 未佳,1992-12-06,女,東京都,個人,Verge-U7,verge,ノートPC,Black,309800
201905130011-1,2019-05-13,C-003285,VENB3,2,445600,2019-05-22,,配達済み,中村 綾,1984-05-31,女,滋賀県,法人,Verge-U3,verge,ノートPC,Black,222800
201905130013-1,2019-05-13,C-003596,TADB5,2,248684,2019-05-20,,配達済み,佐藤 昌紀,1972-11-10,男,愛知県,個人,Tablet-E3,Tab,タブレット,Black,124342
201905140000-1,2019-05-14,C-000157,ZEDB5,5,894500,2019-05-25,,配達済み,後藤 巌,1973-07-06,男,愛知県,法人,Zerace-L5,zerace,デスクトップ,Black,178900
201905140001-1,2019-05-14,C-000337,CADB13,1,434800,2019-05-23,,配達済み,大野 崇史,1977-05-05,男,東京都,個人,Caps-XC10,caps,デスクトップ,Black,434800
201905140002-1,2019-05-14,C-001274,INNB7,4,727200,2019-05-24,,配達済み,下村 麻子,1980-02-24,女,香川県,法人,Inter-Q5H,Inter,ノートPC,Black,181800
201905140005-1,2019-05-14,C-001444,CADB5,2,389600,2019-05-22,,配達済み,大津 晶子,1976-11-05,女,大阪府,法人,Caps-B3P,caps,デスクトップ,Black,194800
201905140008-1,2019-05-14,C-002264,ZENB5,2,347600,2019-05-26,,配達済み,榊原 智美,1979-12-10,女,東京都,法人,Zerace-J5,zerace,ノートPC,Black,173800
201905140010-1,2019-05-14,C-002279,PUNB1,1,67800,2019-05-24,,配達済み,廣川 知佐,1984-01-01,女,福岡県,個人,Puter-K1,puter,ノートPC,Black,67800
201905140011-1,2019-05-14,C-003411,TADB5,1,124342,2019-05-26,,配達済み,仙石 文貴,2003-12-14,男,山口県,個人,Tablet-E3,Tab,タブレット,Black,124342
201905140014-1,2019-05-14,C-003570,ZEDB9,1,256400,2019-05-23,,配達済み,高塚 忠幸,1975-05-20,男,東京都,個人,Zerace-L9,zerace,デスクトップ,Black,256400
201905150001-1,2019-05-15,C-001701,TADB5,3,373026,2019-05-23,,配達済み,菅原 啓介,1993-01-28,男,千葉県,法人,Tablet-E3,Tab,タブレット,Black,124342
201905160001-1,2019-05-16,C-003591,VEDB3,3,554400,2019-05-25,,配達済み,田村 文彦,1983-06-20,男,大阪府,法人,Verge-T3,verge,デスクトップ,Black,184800
201905160001-2,2019-05-16,C-003591,TADB5,3,373026,2019-05-26,,配達済み,田村 文彦,1983-06-20,男,大阪府,法人,Tablet-E3,Tab,タブレット,Black,124342
201905170001-1,2019-05-17,C-002080,CADB7,1,234800,2019-05-30,,配達済み,佐藤 圭,1979-05-06,男,東京都,個人,Caps-XC5,caps,デスクトップ,Black,234800
201905170001-2,2019-05-17,C-002080,PUNS1,1,67800,2019-05-29,,配達済み,佐藤 圭,1979-05-06,男,東京都,個人,Puter-K1,puter,ノートPC,Silver,67800
201905180001-1,2019-05-18,C-000741,CANB5,5,999000,2019-05-30,,配達済み,井上 さやか,1973-03-04,女,東京都,法人,Caps-A3P,caps,ノートPC,Black,199800
201905180003-1,2019-05-18,C-001389,VEDB11,3,1199400,2019-05-30,,配達済み,須山 佳宏,1984-12-19,男,東京都,法人,Verge-T9H,verge,デスクトップ,Black,399800
